,population,PSGC_code,Name
0,5301139,100000000,Region I (Ilocos Region)
1,3685744,200000000,Region II (Cagayan Valley)
2,12422172,300000000,Region III (Central Luzon)
3,16195042,400000000,Region IV-A (CALABARZON)
4,3228558,1700000000,MIMAROPA Region
5,6082165,500000000,Region V (Bicol Region)
6,7954723,600000000,Region VI (Western Visayas)
7,8081988,700000000,Region VII (Central Visayas)
8,4547150,800000000,Region VIII (Eastern Visayas)
9,3875576,900000000,Region IX (Zamboanga Peninsula)
10,5022768,1000000000,Region X (Northern Mindanao)
11,5243536,1100000000,Region XI (Davao Region)
12,4901486,1200000000,Region XII (SOCCSKSARGEN)
13,13484462,1300000000,National Capital Region (NCR)
14,1797660,1400000000,Cordillera Administrative Region (CAR)
15,2804788,1600000000,Region XIII (Caraga)
16,4404288,1900000000,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)
